1000, 1000
x軸, y軸（補正なし）, ypos（補正あり）
752, 893, 833
751, 892, 832
752, 894, 834
750, 893, 833
750, 893, 833
50, 917, 839
751, 895, 835
750, 894, 834
38, 923, 845
38, 936, 840
40, 911, 839
751, 892, 832
45, 927, 843
58, 906, 840
752, 894, 834
751, 891, 831
751, 893, 833
62, 910, 838
751, 891, 831
751, 893, 833
750, 890, 830
41, 916, 844
751, 892, 832
751, 893, 833
751, 892, 832
750, 890, 830
751, 892, 832
751, 895, 835
750, 893, 833
750, 894, 834
751, 891, 831
750, 890, 830
750, 894, 834
752, 895, 835
749, 890, 830
749, 890, 830
751, 894, 834
751, 893, 833
750, 893, 833
753, 894, 834
751, 894, 834
751, 894, 834
752, 893, 833
753, 892, 832
750, 895, 835
750, 894, 834
752, 894, 834
751, 893, 833
751, 896, 836
752, 892, 832
751, 893, 833
750, 895, 835
751, 895, 835
752, 898, 838
752, 893, 833
749, 891, 831
751, 893, 833
751, 894, 834
752, 894, 834
752, 893, 833
751, 892, 832
751, 893, 833
750, 890, 830
750, 894, 834
750, 896, 836
751, 893, 833
750, 892, 832
751, 893, 833
751, 894, 834
751, 893, 833
752, 895, 835
752, 893, 833
751, 892, 832
750, 893, 833
751, 892, 832
750, 894, 834
752, 895, 835
751, 893, 833
751, 893, 833
751, 893, 833
752, 892, 832
749, 891, 831
751, 894, 834
751, 892, 832
752, 895, 835
751, 895, 835
752, 894, 834
751, 894, 834
752, 893, 833
751, 893, 833
752, 893, 833
751, 894, 834
751, 892, 832
751, 893, 833
751, 892, 832
751, 891, 831
752, 894, 834
750, 893, 833
749, 893, 833
752, 893, 833
751, 894, 834
753, 893, 833
753, 893, 833
753, 894, 834
751, 894, 834
750, 891, 831
750, 892, 832
751, 894, 834
751, 896, 836
751, 894, 834
751, 893, 833
752, 894, 834
750, 892, 832
751, 893, 833
751, 892, 832
752, 893, 833
751, 894, 834
752, 895, 835
749, 889, 829
751, 891, 831
751, 892, 832
751, 893, 833
751, 895, 835
751, 894, 834
751, 891, 831
751, 893, 833
751, 894, 834
751, 892, 832
752, 892, 832
752, 893, 833
751, 895, 835
751, 896, 836
751, 891, 831
750, 893, 833
751, 893, 833
750, 892, 832
749, 890, 830
751, 896, 836
751, 892, 832
752, 892, 832
750, 892, 832
751, 892, 832
751, 893, 833
751, 894, 834
750, 894, 834
751, 892, 832
751, 892, 832
752, 893, 833
751, 893, 833
750, 892, 832
752, 894, 834
752, 890, 830
751, 894, 834
752, 894, 834
752, 891, 831
751, 892, 832
751, 891, 831
751, 891, 831
753, 892, 832
752, 893, 833
751, 892, 832
752, 895, 835
750, 893, 833
751, 892, 832
750, 892, 832
751, 892, 832
751, 892, 832
751, 891, 831
751, 894, 834
751, 891, 831
750, 892, 832
752, 893, 833
751, 892, 832
750, 894, 834
751, 894, 834
749, 892, 832
751, 893, 833
751, 891, 831
752, 894, 834
751, 891, 831
751, 894, 834
751, 894, 834
750, 893, 833
750, 893, 833
752, 892, 832
752, 893, 833
751, 895, 835
751, 893, 833
750, 890, 830
751, 893, 833
750, 892, 832
751, 893, 833
750, 893, 833
752, 894, 834
750, 894, 834
751, 893, 833
750, 893, 833
750, 892, 832
750, 892, 832
751, 893, 833
751, 892, 832
750, 894, 834
752, 893, 833
750, 893, 833
750, 893, 833
751, 893, 833
750, 892, 832
749, 893, 833
752, 892, 832
750, 891, 831
751, 892, 832
750, 892, 832
750, 894, 834
752, 892, 832
750, 893, 833
752, 892, 832
751, 894, 834
752, 893, 833
751, 895, 835
751, 894, 834
750, 891, 831
751, 896, 836
750, 894, 834
750, 895, 835
752, 893, 833
751, 893, 833
751, 894, 834
749, 891, 831
752, 893, 833
751, 900, 834
750, 893, 833
750, 893, 833
750, 892, 832
752, 893, 833
752, 892, 832
750, 893, 833
750, 893, 833
751, 892, 832
750, 890, 830
750, 892, 832
751, 893, 833
751, 893, 833
752, 892, 832
752, 894, 834
752, 892, 832
750, 892, 832
750, 893, 833
752, 894, 834
751, 893, 833
749, 889, 829
750, 891, 831
751, 893, 833
751, 890, 830
750, 891, 831
751, 892, 832
752, 893, 833
751, 895, 835
749, 891, 831
752, 892, 832
751, 895, 835
752, 891, 831
752, 892, 832
751, 889, 829
750, 892, 832
751, 892, 832
753, 892, 832
751, 893, 833
751, 892, 832
749, 891, 831
750, 892, 832
751, 894, 834
753, 892, 832
752, 893, 833
751, 893, 833
751, 893, 833
751, 893, 833
750, 891, 831
750, 893, 833
749, 889, 829
752, 892, 832
750, 891, 831
751, 893, 833
751, 894, 834
751, 893, 833
750, 893, 833
751, 894, 834
750, 895, 835
750, 893, 833
751, 892, 832
751, 892, 832
751, 893, 833
750, 893, 833
751, 894, 834
752, 893, 833
752, 893, 833
750, 889, 829
750, 893, 833
752, 894, 834
750, 891, 831
750, 893, 833
751, 892, 832
752, 892, 832
752, 893, 833
751, 891, 831
751, 892, 832
751, 892, 832
752, 894, 834
750, 892, 832
751, 894, 834
751, 893, 833
751, 892, 832
751, 892, 832
751, 892, 832
751, 894, 834
750, 893, 833
751, 893, 833
751, 894, 834
751, 894, 834
750, 893, 833
750, 894, 834
752, 892, 832
751, 893, 833
750, 894, 834
751, 895, 835
750, 893, 833
751, 893, 833
751, 892, 832
750, 891, 831
755, 892, 832
750, 894, 834
752, 893, 833
750, 892, 832
751, 892, 832
750, 892, 832
750, 894, 834
750, 893, 833
752, 892, 832
751, 895, 835
751, 893, 833
752, 895, 835
752, 894, 834
752, 893, 833
753, 892, 832
751, 893, 833
750, 892, 832
750, 891, 831
750, 893, 833
751, 893, 833
751, 892, 832
749, 893, 833
