1000, 1000
x軸, y軸（補正なし）, ypos（補正あり）
820, 815, 779
823, 812, 776
819, 806, 770
821, 808, 772
822, 810, 774
823, 811, 775
824, 811, 775
820, 806, 770
820, 810, 774
823, 814, 778
820, 809, 773
822, 811, 775
824, 811, 775
818, 818, 782
821, 807, 771
824, 808, 772
823, 812, 776
817, 815, 779
820, 806, 770
818, 808, 772
822, 811, 775
822, 811, 775
823, 808, 772
820, 806, 770
823, 813, 777
822, 811, 775
825, 816, 780
819, 808, 772
821, 809, 773
821, 810, 774
825, 812, 776
824, 813, 777
821, 807, 771
818, 816, 780
824, 813, 777
820, 808, 772
823, 812, 776
822, 812, 776
818, 819, 783
822, 804, 768
822, 803, 767
821, 812, 776
824, 809, 773
820, 807, 771
821, 811, 775
821, 807, 771
821, 805, 769
820, 806, 770
823, 808, 772
825, 812, 776
859, 793, 763
824, 809, 773
822, 805, 769
821, 810, 774
833, 811, 775
830, 812, 776
826, 806, 770
826, 812, 776
828, 810, 774
827, 813, 777
830, 811, 775
831, 809, 773
829, 816, 780
830, 812, 776
830, 810, 774
828, 812, 776
824, 813, 777
824, 813, 777
825, 809, 773
824, 809, 773
824, 809, 773
823, 811, 775
825, 809, 773
823, 811, 775
826, 811, 775
825, 813, 777
831, 816, 780
831, 815, 779
817, 816, 780
817, 818, 782
818, 812, 776
824, 811, 775
817, 812, 776
820, 820, 784
821, 819, 783
821, 824, 788
822, 817, 781
821, 816, 780
819, 816, 780
815, 816, 780
819, 808, 772
823, 810, 774
821, 817, 781
823, 810, 774
823, 810, 774
821, 815, 779
838, 805, 769
823, 809, 773
821, 810, 774
838, 810, 774
820, 810, 774
839, 806, 770
838, 805, 769
838, 806, 770
835, 805, 769
841, 805, 769
822, 811, 775
822, 810, 774
838, 804, 768
838, 803, 767
824, 812, 776
839, 806, 770
839, 805, 769
822, 808, 772
840, 799, 769
838, 808, 772
821, 807, 771
842, 797, 767
836, 811, 775
835, 803, 767
835, 811, 775
823, 808, 772
817, 818, 782
822, 807, 771
820, 806, 770
840, 805, 769
840, 800, 764
836, 806, 770
838, 803, 767
837, 804, 768
833, 811, 775
833, 810, 774
844, 796, 766
822, 810, 774
823, 809, 773
822, 810, 774
841, 802, 766
837, 806, 770
834, 807, 771
836, 804, 768
836, 805, 769
834, 810, 774
833, 811, 775
835, 806, 770
834, 810, 774
829, 815, 779
828, 811, 775
820, 811, 775
820, 807, 771
819, 814, 778
842, 810, 774
841, 809, 773
841, 815, 779
851, 808, 772
852, 803, 767
865, 782, 752
835, 802, 766
833, 811, 775
834, 808, 772
834, 801, 765
830, 808, 772
835, 801, 765
835, 801, 765
833, 804, 768
833, 806, 770
839, 807, 771
839, 807, 771
839, 802, 766
840, 805, 769
