1000, 1000
x軸, y軸（補正なし）, ypos（補正あり）
686, 459, 447
679, 458, 446
683, 461, 449
698, 464, 452
679, 461, 449
681, 460, 448
699, 462, 450
677, 462, 450
692, 462, 450
694, 460, 448
685, 461, 449
685, 461, 449
689, 461, 449
681, 458, 446
688, 459, 447
696, 463, 451
668, 454, 442
686, 460, 448
684, 462, 450
690, 460, 448
699, 459, 447
693, 460, 448
712, 460, 448
697, 458, 446
695, 459, 447
698, 458, 446
707, 459, 447
694, 458, 446
697, 461, 449
703, 462, 450
696, 460, 448
695, 458, 446
697, 460, 448
688, 458, 446
681, 455, 443
696, 460, 448
703, 457, 445
680, 458, 446
690, 457, 445
689, 458, 446
698, 461, 449
695, 458, 446
699, 460, 448
695, 460, 448
696, 458, 446
686, 457, 445
684, 454, 442
697, 457, 445
697, 463, 451
689, 452, 440
694, 458, 446
687, 458, 446
692, 458, 446
692, 459, 447
700, 461, 449
694, 460, 448
672, 453, 441
705, 458, 446
694, 458, 446
694, 459, 447
689, 456, 444
700, 461, 449
685, 456, 444
690, 456, 444
700, 462, 450
693, 459, 447
692, 459, 447
688, 454, 442
699, 458, 446
697, 458, 446
692, 463, 451
699, 459, 447
698, 461, 449
695, 460, 448
676, 452, 440
678, 453, 441
695, 459, 447
701, 459, 447
700, 460, 448
669, 453, 441
696, 458, 446
691, 458, 446
695, 458, 446
694, 459, 447
696, 458, 446
701, 459, 447
684, 454, 442
699, 459, 447
706, 457, 445
690, 461, 449
699, 459, 447
691, 454, 442
700, 460, 448
689, 458, 446
684, 458, 446
696, 461, 449
683, 461, 449
696, 458, 446
680, 453, 441
696, 459, 447
690, 459, 447
693, 457, 445
701, 460, 448
696, 458, 446
690, 456, 444
696, 459, 447
699, 461, 449
708, 459, 447
696, 459, 447
692, 460, 448
694, 458, 446
674, 458, 446
699, 458, 446
691, 458, 446
686, 456, 444
688, 458, 446
707, 459, 447
696, 460, 448
702, 462, 450
701, 457, 445
696, 459, 447
699, 458, 446
704, 462, 450
695, 459, 447
704, 458, 446
701, 461, 449
687, 458, 446
691, 458, 446
691, 458, 446
701, 461, 449
692, 459, 447
677, 455, 443
692, 454, 442
702, 460, 448
694, 459, 447
691, 452, 440
697, 459, 447
694, 460, 448
690, 459, 447
694, 459, 447
704, 457, 445
686, 454, 442
681, 454, 442
675, 455, 443
698, 461, 449
692, 459, 447
688, 458, 446
694, 459, 447
694, 459, 447
689, 457, 445
689, 458, 446
694, 459, 447
682, 454, 442
701, 461, 449
694, 459, 447
691, 460, 448
691, 458, 446
705, 463, 451
690, 459, 447
689, 458, 446
702, 459, 447
700, 461, 449
691, 459, 447
694, 458, 446
697, 462, 450
705, 459, 447
688, 459, 447
687, 457, 445
699, 458, 446
697, 461, 449
694, 460, 448
695, 459, 447
701, 460, 448
703, 462, 450
709, 460, 448
703, 460, 448
696, 458, 446
696, 459, 447
705, 456, 444
681, 454, 442
696, 456, 444
710, 459, 447
693, 456, 444
706, 458, 446
692, 458, 446
700, 459, 447
694, 460, 448
688, 454, 442
690, 453, 441
694, 462, 450
696, 460, 448
696, 458, 446
695, 458, 446
710, 461, 449
692, 459, 447
688, 459, 447
695, 458, 446
702, 461, 449
699, 461, 449
698, 461, 449
692, 456, 444
696, 457, 445
700, 461, 449
705, 460, 448
686, 454, 442
698, 457, 445
693, 458, 446
697, 460, 448
691, 456, 444
708, 458, 446
704, 463, 451
686, 459, 447
700, 461, 449
702, 457, 445
706, 457, 445
675, 452, 440
691, 458, 446
702, 461, 449
700, 460, 448
683, 453, 441
705, 459, 447
704, 459, 447
685, 457, 445
688, 459, 447
694, 461, 449
704, 463, 451
703, 461, 449
692, 461, 449
707, 458, 446
698, 459, 447
696, 457, 445
685, 456, 444
693, 453, 441
695, 459, 447
702, 461, 449
703, 460, 448
692, 460, 448
686, 454, 442
701, 460, 448
703, 460, 448
697, 462, 450
700, 460, 448
700, 457, 445
689, 458, 446
689, 459, 447
702, 461, 449
689, 459, 447
685, 455, 443
684, 453, 441
693, 460, 448
693, 456, 444
684, 461, 449
701, 456, 444
693, 459, 447
701, 462, 450
695, 460, 448
701, 463, 451
698, 460, 448
699, 459, 447
682, 455, 443
694, 461, 449
700, 456, 444
696, 460, 448
690, 453, 441
696, 459, 447
705, 459, 447
