1000, 1000
x軸, y軸（補正なし）, ypos（補正あり）
772, 366, 354
759, 360, 348
754, 359, 347
779, 358, 346
773, 361, 349
761, 359, 347
787, 359, 347
769, 360, 348
771, 360, 348
768, 362, 350
772, 366, 354
769, 365, 353
725, 361, 349
772, 360, 348
773, 363, 351
752, 365, 353
773, 360, 348
773, 361, 349
757, 358, 346
752, 361, 349
762, 360, 348
770, 365, 353
773, 360, 348
751, 361, 349
751, 361, 349
771, 365, 353
751, 361, 349
751, 365, 353
771, 366, 354
757, 359, 347
747, 365, 353
751, 361, 349
769, 362, 350
770, 366, 354
743, 364, 352
769, 363, 351
748, 362, 350
769, 362, 350
751, 361, 349
772, 362, 350
750, 361, 349
769, 363, 351
771, 363, 351
751, 361, 349
747, 361, 349
759, 359, 347
770, 363, 351
771, 360, 348
753, 361, 349
751, 362, 350
748, 365, 353
771, 363, 351
767, 362, 350
769, 362, 350
771, 363, 351
771, 363, 351
770, 362, 350
748, 364, 352
758, 359, 347
769, 365, 353
752, 361, 349
769, 363, 351
772, 365, 353
769, 362, 350
755, 359, 347
748, 362, 350
754, 359, 347
750, 361, 349
734, 356, 344
768, 362, 350
753, 361, 349
774, 366, 354
769, 365, 353
769, 363, 351
749, 361, 349
750, 365, 353
753, 361, 349
750, 361, 349
747, 365, 353
747, 361, 349
748, 362, 350
751, 362, 350
751, 362, 350
750, 361, 349
768, 362, 350
749, 365, 353
746, 364, 352
752, 361, 349
771, 360, 348
731, 358, 346
749, 365, 353
753, 365, 353
770, 362, 350
769, 363, 351
750, 361, 349
755, 359, 347
751, 361, 349
754, 361, 349
769, 364, 352
770, 361, 349
760, 359, 347
749, 365, 353
750, 365, 353
755, 359, 347
771, 360, 348
751, 364, 352
746, 365, 353
748, 361, 349
750, 362, 350
773, 360, 348
750, 361, 349
755, 359, 347
756, 361, 349
753, 361, 349
766, 364, 352
749, 362, 350
727, 360, 348
750, 360, 348
751, 361, 349
769, 365, 353
755, 359, 347
752, 361, 349
754, 361, 349
773, 360, 348
750, 362, 350
757, 359, 347
752, 361, 349
735, 358, 346
750, 361, 349
752, 361, 349
748, 364, 352
727, 361, 349
748, 364, 352
749, 365, 353
749, 364, 352
753, 362, 350
744, 361, 349
752, 362, 350
749, 361, 349
817, 367, 355
848, 274, 262
608, 54, 42
835, 431, 419
405, 263, 251
816, 661, 643
273, 6, -6
265, 285, 273
355, 542, 524
939, 336, 324
863, 797, 767
880, 728, 704
889, 718, 694
882, 739, 715
658, 722, 698
859, 779, 749
939, 774, 744
941, 775, 745
944, 773, 743
943, 777, 747
943, 775, 745
943, 772, 742
944, 772, 742
944, 775, 745
943, 773, 743
945, 775, 745
944, 775, 745
945, 775, 745
944, 776, 746
945, 776, 746
947, 779, 749
944, 776, 746
945, 775, 745
944, 776, 746
945, 780, 750
945, 778, 748
945, 782, 752
944, 782, 752
946, 781, 751
945, 780, 750
946, 781, 751
945, 781, 751
945, 781, 751
946, 781, 751
946, 782, 752
945, 780, 750
947, 782, 752
946, 784, 754
946, 782, 752
946, 782, 752
946, 784, 754
945, 785, 755
946, 783, 753
945, 786, 756
946, 786, 756
946, 782, 752
946, 783, 753
946, 783, 753
946, 784, 754
946, 783, 753
946, 783, 753
946, 788, 758
947, 783, 753
945, 785, 755
947, 786, 756
946, 786, 756
945, 785, 755
946, 784, 754
945, 785, 755
946, 786, 756
946, 786, 756
947, 786, 756
945, 785, 755
947, 787, 757
945, 788, 758
945, 785, 755
946, 784, 754
946, 784, 754
946, 783, 753
946, 787, 757
946, 782, 752
946, 786, 756
947, 785, 755
945, 786, 756
947, 787, 757
946, 788, 758
947, 791, 761
950, 781, 751
949, 787, 757
949, 789, 759
946, 787, 757
946, 790, 760
945, 787, 757
945, 785, 755
948, 791, 761
945, 787, 757
945, 785, 755
946, 790, 760
947, 793, 763
948, 792, 762
946, 787, 757
946, 787, 757
947, 786, 756
946, 787, 757
946, 786, 756
945, 786, 756
946, 785, 755
946, 786, 756
946, 787, 757
946, 789, 759
948, 790, 760
947, 793, 763
947, 788, 758
946, 785, 755
946, 787, 757
947, 786, 756
945, 787, 757
945, 787, 757
947, 794, 764
947, 788, 758
947, 788, 758
945, 786, 756
946, 787, 757
946, 788, 758
946, 785, 755
945, 787, 757
947, 791, 761
