1000, 1000
x軸, y軸（補正なし）, ypos（補正あり）
775, 975, 729
775, 975, 729
774, 975, 729
775, 976, 724
775, 977, 713
775, 976, 724
774, 972, 756
775, 976, 724
775, 976, 724
775, 976, 724
775, 977, 713
775, 976, 724
775, 977, 713
774, 977, 713
774, 976, 724
774, 977, 713
774, 976, 724
775, 977, 713
775, 977, 713
774, 975, 729
773, 975, 729
775, 977, 713
775, 977, 713
775, 977, 713
774, 975, 729
774, 976, 724
775, 977, 713
775, 977, 713
775, 977, 713
774, 975, 729
775, 976, 724
774, 977, 713
775, 975, 729
775, 977, 713
775, 977, 713
775, 976, 724
775, 977, 713
774, 977, 713
774, 975, 729
774, 976, 724
774, 976, 724
775, 975, 729
774, 977, 713
774, 977, 713
774, 976, 724
775, 977, 713
774, 977, 713
