1000, 1000
x軸, y軸（補正なし）, ypos（補正あり）
908, 75, 63
913, 73, 61
911, 76, 64
909, 73, 61
909, 72, 60
907, 73, 61
908, 75, 63
909, 70, 58
908, 75, 63
909, 71, 59
909, 77, 65
908, 75, 63
909, 70, 58
909, 76, 64
909, 72, 60
910, 71, 59
908, 71, 59
908, 73, 61
910, 73, 61
909, 73, 61
911, 73, 61
910, 70, 58
909, 73, 61
911, 70, 58
911, 70, 58
910, 75, 63
911, 70, 58
909, 70, 58
910, 70, 58
910, 70, 58
910, 72, 60
911, 71, 59
912, 70, 58
911, 69, 57
909, 69, 57
911, 70, 58
908, 72, 60
909, 69, 57
910, 73, 61
909, 69, 57
909, 68, 56
910, 69, 57
909, 73, 61
911, 69, 57
911, 70, 58
910, 70, 58
909, 76, 64
911, 70, 58
911, 71, 59
910, 70, 58
912, 72, 60
911, 72, 60
910, 74, 62
911, 71, 59
909, 69, 57
